,주소,장소명
0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03f49a65-c96a-4f0a-823a-90da6c4f9c62,서울남산국악당
1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d786da2a-fe93-48b6-a21f-3ea092408f0f,국립국악박물관
2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fc2e85ea-f81f-4e11-9507-3102624fde86,봉국사(서울)
3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d29bb635-b0a8-4ffa-acc3-f88eb4df2c8f,보안스테이(BOANSTAY)
4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=960fff0a-437d-48e1-8dd1-539bcbb6a5d2,용산공예관
5,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c29463c2-2818-4247-902c-ac109007250f,미타사(강서)
6,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7963f4d5-8034-4a56-b68a-b8cd552ab92a,미타사(성동)
7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=672ee705-ef3b-44d7-8431-2293503c43b6,백련사(서울)
8,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5953b674-93d1-4305-801a-2de7d77ece4e,보광사 보광선원(서울)
9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f5c4311e-72a3-4f33-9360-8b3333d427ee,본원정사(서울)
10,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=71c6b171-94d0-4c15-9f63-38a073923eb8,유즈패밀리
11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ceb891b-05fc-4fc3-ae33-815789754f45,이스탄불문화원
12,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c668d9f-96de-46ab-9eff-ae19df958936,소림사(서울)
13,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=10c41d98-5801-4361-9912-344491a66d6d,자매공원(앙카라공원)
14,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a8500c0-dd83-48a8-9313-8a95025f5a4b,국립한글박물관
15,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9a0f6893-92a4-4cfe-a6cf-9cf960fd8c7d,만해한용운심우장
16,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6387537b-8555-4200-97b9-0b147abd8fde,최순우 옛집
17,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7645f8f9-57b8-41d1-98c3-48f749f55f49,길상사(서울)
18,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d31880e3-6cfd-4e35-b1d4-8a3c949d576b,떼아떼베네
19,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0993fd4-4178-476f-97eb-8d453386ea6e,감꽃당
20,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc638fca-d35a-4086-abb3-39c37c4185e0,송강카누학교 서울분교
21,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d07f463b-abc9-4aa2-935b-fe8e76f53034,63아트
22,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7699349-f6de-4d3a-9f90-4de3a098e343,포니정홀
23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7084d11f-d244-4bbb-87b2-f85a3995872a,우표박물관 (구.우표문화누리)
24,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3abef23-b1e9-46e9-8363-7860e29931a9,청와대사랑채
25,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faba6def-42c2-45f9-82e3-2e52f267ced6,안양암(서울)
26,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5b4e22d-7338-44d6-ae7f-951b292fde15,약사사(서울)
27,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bd08186-776f-4de3-8e47-fd353ef52073,영화사(서울)
28,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4be77eeb-24b6-4c61-8b5b-2e16cc89182f,옥천암(서울)
29,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=deacb043-65d8-4a69-9b0a-b657ece9d28f,산채향
30,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66fcd1e9-3154-48f5-b92f-71e461cf6249,서울 몽촌토성
31,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f5a3df87-f7d6-4b46-a92d-ee041c240fcc,양화한강공원
32,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1139ca66-a861-4363-9aa9-5334239f2cc7,동진시장
33,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0cec104-9923-472a-ac1b-d220851867f2,유어마인드
