,주소,장소명
0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b27c894e-f4dc-439b-abfc-28c89decf0e6,을지로 노가리골목
1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=105f237b-b057-4c3e-8c89-bd4047af9d3a,아모레 성수
2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b8294e53-3f03-4a1b-aaa2-1be92ab28544,스탈릿성수
3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8054cba4-f0f9-405b-bf6e-7fab3d054f99,무대륙
4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ed851f7-6125-4990-8f2b-6a4f39813191,세종마을 음식문화거리
5,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=364eaf90-7129-4644-a52b-aeec8623bea2,K-컬처 스크린(대한민국역사박물관)
6,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f63635ec-d0fd-4e21-8cc4-ce1eedbd145b,서울물재생체험관
7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3462e4df-d880-40d5-b835-a65adc36bdb4,백악마루
8,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=db2e0aaa-4b07-4bb9-a63f-b88a4efb8900,락고재 컬쳐 라운지 애가헌
9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff7462f2-e93c-455b-8213-eed859399695,라이스앤파스타
10,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=715d3913-f5ce-4669-9bc5-076134623e59,청와대 전망대
11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7c65d34-becf-4fc3-b119-88941d27ee10,LG상남도서관
12,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c183c8b-7f53-4561-9b11-fb286118b9ec,기기국 번사창
13,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2bddc050-9998-4bfa-bd93-51f51c3864fd,선유도공원
14,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=75203de2-4f53-4590-ad92-7359efad0e5d,상촌재
15,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da3a87cc-600a-4393-a27b-ac6466f69601,대돈집
16,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c5ebe3a-3c11-405b-8006-140ef595bd51,아트스페이스3
17,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18f93bfb-17b0-454c-a73d-9e1dbf9bea2a,윤동주 하숙집 터
18,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2148f0b1-19ad-4120-88cd-be76c6021fe2,아트선재센터
19,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b06cd6e4-badd-4653-acb6-cfeddba7b7b6,사직단
20,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4eb6c21a-6c35-4c3e-a412-b09b03db3743,"꽃,밥에피다"
21,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b2cd1753-d8a2-4e1e-9f93-731356e58cc8,북촌전통공예체험관
22,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c3e875f8-0588-4bf8-bcd8-04d22d2cd1e2,위라이드 서울전차
23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e5839a9-642f-400c-b525-4097b5b46325,백악정
24,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d21c28f-d05a-4eca-8f70-016ce45473aa,사찰음식 전문점 발우공양
25,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6ce0f037-b56d-49a1-bcfc-8646c739d78c,와이키키레저
26,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=534e9a80-2589-4924-8e37-c2027c2e0df8,소테츠 프레사 인 서울 명동
27,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=facfc074-3e28-4435-a485-d39f61a675db,소테츠 호텔즈 더 스프라지르 서울 명동
28,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aad28e25-5a2c-4727-b8b0-3d04551a70ae,소테츠 호텔즈 더 스프라지르 서울 동대문
29,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fdae20ff-63f6-4357-8e34-97b8e332a43e,화춘옥 청담점
30,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35c572f8-c912-4717-b713-4deed8aae635,한강세븐수상레저
31,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=325773df-d226-4a9e-b4b4-7d4ffe41f9a2,무수골계곡
32,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f531ffc6-359f-4550-bcea-f8f048c1b073,금천 체육공원
33,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9000c6c0-fd41-4be2-9c50-4199b5d6e2a4,양화진홀 전시관
34,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3656abef-62be-4d16-b67f-f91d18af772d,난지천공원
35,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1de70a51-563b-43d5-9f0f-61f1008d6279,와이키키마켓
36,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=266485eb-fc0f-4da3-b3b2-f26a6243b46c,신성종합시장
37,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7bf788e-29da-4825-9af0-57e8ac879e0e,서울한양도성 백악구간
38,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=55758513-1ea5-4404-8737-495a6a331656,플랫폼엘
39,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=114d3c4f-c8b7-4579-b0e2-de68acef68b0,필름로그 현상소
